item,itemLabel,startDate,endDate,sourceDate,psid
Q15024,Donald Tsang Yam-kuen,1997-07-01,2001-05-01,2022-06-23,q15024-4C3C3B2B-210A-43DE-9DC4-2FCA22C5B5FD
Q835316,Antony Leung Kam-chung,2001-05-29,2003-07-16,2022-06-23,q835316-130B3A07-122B-4282-A76B-9D23B37630D0
Q19220,Henry Tang Ying-yen,2003-08-05,2007-06-30,2022-06-23,q19220-1FAC7E03-0B92-4D32-AEA3-57C16A48E7A4
Q19225,John Tsang Chun-wah,2007-07-01,2017-01-16,2022-06-23,q19225-B75B519A-31B2-497D-8151-6C156B6348AB
Q7149777,Paul Chan Mo-po,2017-01-16,,,Q7149777-486693fa-4626-7074-8f20-4a8ebcc81950
