@@,item,itemlabel,startdate,enddate
->,Q50838,Anson Chan->Dame Anson Chan,1997-07-01,2001-04-30
->,Q15024,Donald Tsang->Donald Tsang Yam-kuen,2001-05-01,2005-05-25->2005-05-31
->,Q2109662,Rafael Hui->Rafael Hui Si-yan,2005-06-30,2007-06-30
->,Q19220,Henry Tang->Henry Tang Ying-yen,2007-07-01,2011-09-28->2011-09-30
->,Q4861940,Stephen Lam->Stephen Lam Sui-lung,2011-09-30,2012-06-30
->,Q19217,Carrie Lam->Carrie Lam Cheng Yuet-ngor,2012-07-01,2017-01-16
->,Q6790301,Matthew Cheung->Matthew Cheung Kin-chung,2017-01-16,2021-06-25
->,Q9051824,John Lee->John Lee Ka-chiu,2021-06-25,2022-04-07
