item,itemLabel,position,positionLabel,startDate,endDate,source,psid
Q10906089,CHEUK Wing-hing,Q113010954,The Deputy Chief Secretary for Administration,2022-07-01,,https://www.ceo.gov.hk/exco/eng/membership.html,Q10906089-04593AE5-1447-467F-AFD2-13B1E6B26AA1
Q112644506,Winnie HO Wing-yin,Q28013721,Secretary for Housing,2022-07-01,,https://www.ceo.gov.hk/exco/eng/membership.html,Q112644506-19618ad6-4ef7-ca70-b146-d580550ae5c0
Q112645023,Chris SUN Yuk-han,Q7444266,Secretary for Labour and Welfare,2022-07-01,,https://www.ceo.gov.hk/exco/eng/membership.html,Q112645023-02d325c7-4063-f12c-d2ff-b25d95965774
Q112658126,Algernon YAU Ying-wah,Q7444252,Secretary for Commerce and Economic Development,2022-07-01,,https://www.ceo.gov.hk/exco/eng/membership.html,Q112658126-1daec2a3-4dd3-11fa-acd5-bf821bb6b216
Q15888642,TSE Chin-wan,Q113010762,Secretary for Environment and Ecology,2022-07-01,,https://www.ceo.gov.hk/exco/eng/membership.html,Q15888642-851841A5-53F1-427C-BDEB-3E3C8E6962E0
Q15922367,Professor Chung-mau LO,Q113144764,Secretary for Health,2022-07-01,,https://www.ceo.gov.hk/exco/eng/membership.html,Q15922367-2AD116C5-C3EE-461A-8C23-780BA129DF4E
Q22099203,Dr CHOI Yuk-lin,Q7444260,Secretary for Education,2022-07-01,,https://www.ceo.gov.hk/exco/eng/membership.html,Q22099203-5faae56d-4ad0-a597-7dd0-778f64ce09a0
Q30122220,Professor SUN Dong,Q113145259,"Secretary for Innovation, Technology and Industry",2022-07-01,,https://www.ceo.gov.hk/exco/eng/membership.html,Q30122220-1DE8849A-6126-4E0D-A1F4-51278989A872
Q30465932,Michael WONG Wai-lun,Q113010928,The Deputy Financial Secretary,2022-07-01,,https://www.ceo.gov.hk/exco/eng/membership.html,Q30465932-79B12523-4854-4E4E-8C52-BFB7A5891B3F
Q30825347,Erick TSANG Kwok-wai,Q7444253,Secretary for Constitutional and Mainland Affairs,2020-04-22,,https://www.ceo.gov.hk/exco/eng/membership.html,Q30825347-4BC59C49-B9CD-4381-A782-6A5A7B0E5611
Q4725987,Alice MAK Mei-kuen,Q113145394,Secretary for Home and Youth Affairs,2022-07-01,,https://www.ceo.gov.hk/exco/eng/membership.html,Q4725987-E1EB4CD5-FE23-4033-8385-2820025630B8
Q48914413,TANG Ping-keung,Q5541355,Secretary for Security,2021-06-25,,https://www.ceo.gov.hk/exco/eng/membership.html,Q48914413-22CCFAF6-7E96-4BAC-909E-04395C600879
Q67935929,Paul LAM Ting-kwok,Q835507,The Secretary for Justice,2022-07-01,,https://www.ceo.gov.hk/exco/eng/membership.html,Q67935929-33AAC3FE-B32C-486B-88A2-B3CAADA03CEF
Q7149777,Paul CHAN Mo-po,Q637960,The Financial Secretary,2017-01-16,,https://www.ceo.gov.hk/exco/eng/membership.html,Q7149777-486693fa-4626-7074-8f20-4a8ebcc81950
Q7237065,CHEUNG Kwok-kwan,Q113010918,The Deputy Secretary for Justice,2022-07-01,,https://www.ceo.gov.hk/exco/eng/membership.html,Q7237065-E52630E9-DE37-4AC2-ADE6-D72193250360
Q9051824,John LEE Ka-chiu,Q2741486,The Chief Executive,2022-07-01,,https://www.ceo.gov.hk/exco/eng/membership.html,Q9051824-ae789bbc-4e43-c806-6f5a-d64d04d1bbfc
Q91408367,Christopher HUI Ching-yu,Q7444258,Secretary for Financial Services and the Treasury,2020-04-22,,https://www.ceo.gov.hk/exco/eng/membership.html,Q91408367-10DE792A-036B-48CE-B8C4-A7CF7C030F6F
Q9299188,Kevin YEUNG Yun-hung,Q113024559,"Secretary for Culture, Sports and Tourism",2022-07-01,,https://www.ceo.gov.hk/exco/eng/membership.html,Q9299188-C95C585C-490D-4C14-9120-8B0ED1BF8FCC
Q9439903,CHAN Kwok-ki,Q3135366,The Chief Secretary for Administration,2022-07-01,,https://www.ceo.gov.hk/exco/eng/membership.html,Q9439903-5b7e868f-4126-d1b5-7c10-74b8b977ac6f
Q97300994,LAM Sai-hung,Q113010712,Secretary for Transport and Logistics,2022-07-01,,https://www.ceo.gov.hk/exco/eng/membership.html,Q97300994-D2195C1E-F628-4720-93F0-5C064488C119
Q97300997,Mrs Ingrid YEUNG HO Poi-yan,Q7444277,Secretary for the Civil Service,2022-07-01,,https://www.ceo.gov.hk/exco/eng/membership.html,Q97300997-f072de6f-4b7c-f576-bcf8-9acdc07c0a15
Q97301037,Bernadette LINN Hon-ho,Q7444254,Secretary for Development,2022-07-01,,https://www.ceo.gov.hk/exco/eng/membership.html,Q97301037-D84DFE1E-C0CD-478E-AD6D-47BCDB1E96B2
